block,cell,task_id,source_session,e2e_s,llm_s,preengine_wait_s,exposed_tool_s,actual_saved_service_s,ok,failed_tool_calls,engine_wait_upper_bound_s,engine_audit_joined_requests,llm_requests,setup_seconds,prepared_state_sha256,cleanup_complete,cpu_core_s,http_attempts,http_request_bytes,http_requests,http_response_body_bytes,measurement_scope,physical_calls,private_result_byte_s,private_result_peak_bytes,simulated_search_calls,simulated_search_worker_s,unused_speculative_calls,unused_speculative_worker_s,useful_speculative_calls,worker_occupancy_s
block1,high-b0-tool-aware,dr-001-trace_000,trace_20260129_125406_task1_收集整理目前中国9阶层实际收入和财务状况_特别研究得出中国的.jsonl,132.81713691493496,100.4560443777591,3.2011047219857574,29.081770258955657,0.0,True,0,8.087934970855713,9,9,,,True,,2,,4,1049240,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,2,0.0,0,7,15.744062101002783,0,0,0,13.333128362195566
block1,high-b0-tool-aware,dr-002-trace_001,trace_20260129_125523_task2_收集整理目前国际综合实力前十的保险公司的相关资料_横向比较各.jsonl,229.09753926703706,210.99401778914034,3.2015231309924275,14.799705274868757,0.0,True,1,24.76320791244507,9,9,,,True,,5,,5,251371,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,5,0.0,0,4,8.502585106994957,0,0,0,6.2926939111202955
block1,high-b0-tool-aware,dr-003-trace_002,trace_20260129_125632_task3_中国金融未来的发展趋势_未来哪一个细分领域_例如投行_pe_.jsonl,441.3748250110075,420.51234949287027,3.2006870380137116,17.63024472282268,0.0,True,1,76.15384030342102,9,9,,,True,,4,,3,673381,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,4,0.0,0,3,5.96089994488284,0,0,0,11.666232018033043
block1,high-b0-tool-aware,dr-004-trace_003,trace_20260129_125841_task4_分析_2010_年至今的黄金走势_用思维导图告诉我黄金未来有.jsonl,108.98714326880872,91.15975067182444,3.2007690221071243,14.533431258052588,0.0,True,0,4.729750633239746,9,9,,,True,,3,,3,324424,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,3,0.0,0,6,11.627784300362691,0,0,0,2.901085997931659
block1,high-b0-tool-aware,dr-005-trace_004,trace_20260129_125922_task5_调研国内金融机构之间的投资借贷关系与系统性风险的联系_对不同.jsonl,135.80781327281147,106.14083786704578,3.201034900965169,26.409533729078248,0.0,True,1,3.7817678451538086,6,6,,,True,,7,,7,1741394,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,7,0.0,0,3,7.4613772188313305,0,0,0,18.942090491764247
block1,high-b0-tool-aware,dr-006-trace_005,trace_20260129_130834_task6_请帮我整理下目前全球具身智能发展的技术路线_以及各个路线的代.jsonl,254.2238046550192,225.0294456453994,3.201559694018215,25.910280690761283,0.0,True,0,29.934495210647583,9,9,,,True,,4,,5,611176,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,4,0.0,0,6,11.206547267967835,0,0,0,14.698829870671034
block1,high-b0-tool-aware,dr-007-trace_006,trace_20260129_130942_task7_在当前中国房地产市场低迷的情况下_政府税收减少_这会多大程度.jsonl,138.2975922790356,119.46510991780087,3.201883721165359,15.53226384636946,0.0,True,0,5.875418663024902,9,9,,,True,,2,,2,179501,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,2,0.0,0,7,13.506357006030157,0,0,0,2.0210568108595908
block1,high-b0-tool-aware,dr-008-trace_007,trace_20260129_131103_task8_能否给我提供一份详尽的报告_分析机器学习或者深度学习在优化材.jsonl,350.76495220395736,336.66304966202006,3.2026400910690427,10.787394190207124,0.0,True,0,43.58065962791443,9,9,,,True,,11,,11,677844,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,11,0.0,0,5,9.353102671913803,0,0,0,1.4272441116627306
block1,high-b0-tool-aware,dr-009-trace_008,trace_20260129_131409_task9_在计算化学这个领域_我们通常使用Gaussian软件模拟各种.jsonl,133.1354917930439,112.30336237722076,3.2008063800167292,17.525792086031288,0.0,True,2,4.223499059677124,9,9,,,True,,4,,4,189949,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,4,0.0,0,4,9.054191938135773,0,0,0,8.467337975976989
block1,high-b0-tool-aware,dr-010-trace_009,trace_20260129_152333_task10_在800V高压_碳化硅电驱_固态电池_分布式驱动等技术迭代加.jsonl,260.74770194804296,241.21856993576512,3.2008872921578586,16.230743220774457,0.0,True,0,18.9528865814209,9,9,,,True,,3,,4,97593,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,3,0.0,0,4,7.579502064967528,0,0,0,8.648070929339156
block1,high-b0-tool-aware,dr-011-trace_010,trace_20260129_152515_task11_请总结碳钢常用缓蚀剂种类_并分析每种缓蚀剂是具有拉曼活性还是.jsonl,188.6219705059193,155.64787232736126,3.2018262459896505,29.667992885923013,0.0,True,0,17.525194883346558,9,9,,,True,,8,,9,378981,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,8,0.0,0,5,9.282915845979005,0,0,0,20.36219682195224
block1,high-b0-tool-aware,dr-012-trace_011,trace_20260129_152650_task12_收集整理近10年来国际上自来水生产及销售企业在技术创新且已经.jsonl,178.2324837348424,155.46306384331547,3.200933004030958,19.435636076610535,0.0,True,2,7.9618377685546875,9,9,,,True,,9,,9,1496079,physical executor; serialized private result payload; sent HTTP requests include redirects; body bytes delivered after decompression exclude headers and unread/cancelled transport buffering,9,0.0,0,5,9.748469164827839,0,0,0,9.678014781326056
